Term,Definition,Domain
"NGFW","Adds application awareness and deeper inspection","D4 Network Security"
"Default deny","Block everything, permit by exception. The expected posture","D4 Network Security"
"IDS","Detects and ALERTS. Out of band, gets a copy. Passive. Detective","D4 Network Security"
"IPS","Detects and BLOCKS. In line, all traffic passes through. Active. Preventive","D4 Network Security"
"NIDS / NIPS","Network-based, monitoring a segment","D4 Network Security"
"HIDS / HIPS","Host-based, monitoring one system","D4 Network Security"
"Signature-based detection","Known patterns. Accurate, cannot catch zero-days","D4 Network Security"
"Anomaly-based detection","Baseline deviation. Catches unknown attacks, more false positives","D4 Network Security"
"False positive","Legitimate activity flagged. Costly — and on an IPS it blocks real traffic","D4 Network Security"
"False negative","A real attack missed. The dangerous error","D4 Network Security"
"Forward proxy","Sits in front of CLIENTS. Filtering, caching, monitoring outbound","D4 Network Security"
"Reverse proxy","Sits in front of SERVERS. Load balancing, TLS termination","D4 Network Security"
"WAF","A reverse proxy filtering HTTP at layer 7, defending web applications","D4 Network Security"
"Segmentation","Dividing the network into controlled zones. Limits LATERAL MOVEMENT","D4 Network Security"
"Flat network","Everything can reach everything. The dangerous default","D4 Network Security"
"Lateral movement","An attacker moving sideways after an initial compromise","D4 Network Security"
"VLAN","A logical segment in switch configuration. VLAN hopping exists","D4 Network Security"
"DMZ / screened subnet","A semi-trusted zone for internet-facing services","D4 Network Security"
"The DMZ rule","The internet may reach the DMZ; the DMZ must NOT freely reach the internal network","D4 Network Security"
"Bastion host","A hardened, deliberately exposed host","D4 Network Security"
"Jump box","A controlled host through which admins reach sensitive segments","D4 Network Security"
"Microsegmentation","Segmentation down to individual workloads","D4 Network Security"
"Air gap","Complete physical isolation. Strongest, still not absolute","D4 Network Security"
"VPN","An encrypted tunnel across an untrusted network","D4 Network Security"
"What a VPN protects","Data in transit between the two endpoints. NOT the endpoints, NOT data at rest","D4 Network Security"
"Site-to-site VPN","Joins two networks. Always on, transparent","D4 Network Security"
"Remote access VPN","Joins one device. User-initiated","D4 Network Security"
"Split tunnelling","Only corporate traffic tunnelled. Faster, bypasses inspection","D4 Network Security"
"Full tunnelling","All traffic tunnelled. More secure","D4 Network Security"
"IPSec","Secures IP traffic at layer 3","D4 Network Security"
"Tunnel mode","Encrypts the whole original packet. Site-to-site","D4 Network Security"
"Transport mode","Encrypts the payload only","D4 Network Security"
"WEP","Broken. Never acceptable","D4 Network Security"
"WPA2","Acceptable, AES-based","D4 Network Security"
"WPA3","Current and strongest","D4 Network Security"
"Evil twin","A rogue AP impersonating a legitimate SSID","D4 Network Security"
"Rogue access point","Any unauthorised access point","D4 Network Security"
"Hidden SSID / MAC filtering","Obscurity, not security. The control is encryption","D4 Network Security"
"IaaS","You manage OS + apps + data. You patch the OS","D4 Network Security"
"PaaS","You manage apps + data","D4 Network Security"
"SaaS","You manage data + access only","D4 Network Security"
"Every model","Data, users and access are always yours. Accountability never transfers","D4 Network Security"
"Public cloud","Shared, open to anyone","D4 Network Security"
"Private cloud","Dedicated to one organisation","D4 Network Security"
"Hybrid cloud","Public and private combined","D4 Network Security"
"Community cloud","Shared by orgs with common requirements. The forgotten one","D4 Network Security"
"Type 1 hypervisor","Bare metal. More efficient and more secure","D4 Network Security"
"Type 2 hypervisor","Runs on a host OS","D4 Network Security"
"VM escape","Breaking out of a guest to reach the hypervisor or other VMs","D4 Network Security"
"Container isolation","Containers share the host kernel → WEAKER than VMs","D4 Network Security"
"Cloud breach cause","Customer misconfiguration — not provider failure","D4 Network Security"
"CASB","A control point enforcing policy between users and cloud services","D4 Network Security"
"Zero trust","""Never trust, always verify."" No trust based on network location","D4 Network Security"
"Zero trust principles","Verify explicitly · least privilege · assume breach","D4 Network Security"
"SLA","Measurable service levels with remedies. Binding","D4 Network Security"
"MOU","A statement of intent. Usually NOT legally binding","D4 Network Security"
"MOA","More formal than an MOU; sets out responsibilities","D4 Network Security"
"MSA","The binding master contract. The umbrella","D4 Network Security"
"SOW","The specific work under an MSA","D4 Network Security"
"NDA","Protects confidential information shared between parties","D4 Network Security"
"Data at rest","Stored — on disk, in a database, on a backup tape","D5 Security Operations"
"Data in transit","Moving across a network. Also data in motion","D5 Security Operations"
"Data in use","Loaded in memory, being processed. The HARDEST to protect","D5 Security Operations"
"Why in use is hard","It must be decrypted to be processed — encryption cannot cover it","D5 Security Operations"
"Data lifecycle","Create → store → use → share → archive → destroy","D5 Security Operations"
"When to classify","At creation — every later decision depends on it","D5 Security Operations"
"Archived data","Still classified data. Cheaper storage does not reduce sensitivity","D5 Security Operations"
"Retention","How long data is kept before disposal","D5 Security Operations"
"Retention reality","Keeping data past its period is a LIABILITY, not an asset","D5 Security Operations"
"Legal hold","Suspends normal destruction for litigation or investigation","D5 Security Operations"
"Remanence","Residual data remaining after an attempt to remove it","D5 Security Operations"
"Deleting","Removes the pointer only. The data remains. Not sanitisation","D5 Security Operations"
"Clearing","Overwriting so ordinary recovery fails. Media reusable","D5 Security Operations"
"Purging","Degaussing or crypto-erase. Resists laboratory recovery","D5 Security Operations"
"Destruction","Shredding, incineration, pulverising. Media unusable","D5 Security Operations"
"Degaussing","Magnetic erasure. Magnetic media ONLY — does nothing to an SSD","D5 Security Operations"
"Crypto-shredding","Destroying the encryption key. The answer for cloud storage","D5 Security Operations"
"SSD sanitisation","Built-in secure erase, crypto-shredding, or physical destruction","D5 Security Operations"
"Data classification","Categorising data by sensitivity so protection is proportionate","D5 Security Operations"
"What sets the level","The IMPACT of disclosure, alteration or loss. Not volume, format or department","D5 Security Operations"
"Data owner","DECIDES classification and access. A BUSINESS role. ACCOUNTABLE","D5 Security Operations"
"Data custodian","IMPLEMENTS protection — storage, backups, permissions. Usually IT. RESPONSIBLE","D5 Security Operations"
"Data steward","Responsible for data quality and meaning within a business area","D5 Security Operations"
"Data user","Accesses the data and follows the handling rules","D5 Security Operations"
"Commercial scheme","Public → Internal → Confidential → Restricted","D5 Security Operations"
"Government scheme","Unclassified → Confidential → Secret → Top Secret","D5 Security Operations"
"How many levels","Fewer is better — three or four. A scheme nobody applies correctly is useless","D5 Security Operations"
"Labelling","Marking data with its classification","D5 Security Operations"
"Handling requirements","What a classification obliges — storage, transmission, disposal","D5 Security Operations"
"Aggregation","Low-sensitivity items combined becoming more sensitive","D5 Security Operations"
"The dataset rule","Takes the level of its most sensitive element, or higher if aggregation raises it","D5 Security Operations"
"The label is a floor","At least that protection; stronger is always fine","D5 Security Operations"
"Reclassification","Changing a label as sensitivity changes. The owner's decision","D5 Security Operations"
"Declassification","Lowering a classification when data is no longer sensitive","D5 Security Operations"
"Plaintext","The readable data before encryption","D5 Security Operations"
"Ciphertext","The unreadable data after encryption","D5 Security Operations"
"Symmetric encryption","ONE shared key, encrypts and decrypts. FAST","D5 Security Operations"
"Symmetric's weakness","KEY DISTRIBUTION — getting the key to the other party safely","D5 Security Operations"
"Asymmetric encryption","A KEY PAIR — public and private. SLOW. Solves key distribution","D5 Security Operations"
"AES","The standard symmetric algorithm","D5 Security Operations"
"RSA","A widely used asymmetric algorithm","D5 Security Operations"
"For confidentiality","Encrypt with the RECIPIENT'S PUBLIC key. Only their private key decrypts","D5 Security Operations"
"For non-repudiation","Sign with YOUR OWN PRIVATE key. Anyone verifies with your public key","D5 Security Operations"
"The rule","Public encrypts, private decrypts. Private signs, public verifies","D5 Security Operations"
"Why","The private key does the thing only you should be able to do","D5 Security Operations"
"Hybrid model","Asymmetric exchanges the session key; symmetric encrypts the traffic. This is TLS","D5 Security Operations"
"Shared symmetric key","Provides NO non-repudiation — either party could have produced it","D5 Security Operations"
"PKI","The system of certificate authorities binding public keys to identities","D5 Security Operations"
"CA","Certificate Authority — verifies identity and issues certificates","D5 Security Operations"
"Digital certificate","Binds a public key to a verified identity","D5 Security Operations"
"CRL","Certificate Revocation List — certificates revoked before expiry","D5 Security Operations"
"OCSP","Real-time check of a single certificate's revocation status","D5 Security Operations"
"Kerckhoffs's principle","Security rests on KEY secrecy, never ALGORITHM secrecy","D5 Security Operations"
"Security through obscurity","Relying on a secret algorithm. Always the wrong answer","D5 Security Operations"
"Key length note","Not comparable across families — 256-bit symmetric ≠ 256-bit asymmetric","D5 Security Operations"
"Hash function","ONE-WAY, no key, fixed-length output from any input","D5 Security Operations"
"Hash / digest","The output of a hash function","D5 Security Operations"
"Purpose","INTEGRITY — and storing passwords","D5 Security Operations"
"Hashing vs encryption","Encryption is reversible with a key. Hashing is one-way with no key","D5 Security Operations"
"Passwords","HASHED, NEVER ENCRYPTED. Encryption's key would recover them all","D5 Security Operations"
"Deterministic","The same input always produces the same hash","D5 Security Operations"
"Avalanche effect","A tiny input change produces a completely different hash","D5 Security Operations"
"Collision","Two different inputs producing the same hash. A weakness","D5 Security Operations"
"Collision resistance","It should be infeasible to find two inputs with the same hash","D5 Security Operations"
"Hashing's control function","DETECTIVE — it detects change, it does not prevent it","D5 Security Operations"
"Salt","Unique random data added per password before hashing","D5 Security Operations"
"What salting defeats","RAINBOW TABLES","D5 Security Operations"
"Salt secrecy","It needs to be unique, not secret. Stored alongside the hash","D5 Security Operations"
"SHA-256 / SHA-2","Current standard","D5 Security Operations"
"MD5","BROKEN by collisions. Not for security","D5 Security Operations"
"SHA-1","BROKEN by collisions. Deprecated","D5 Security Operations"
"Digital signature","A hash encrypted with the signer's private key","D5 Security Operations"
"Signature provides","Integrity + authentication + non-repudiation","D5 Security Operations"
"Signature does NOT provide","CONFIDENTIALITY. A signed message is still readable","D5 Security Operations"
"Checksum","Detects accidental corruption. Not cryptographically strong","D5 Security Operations"
"HMAC","A hash combined with a secret key — integrity and authenticity","D5 Security Operations"
"Hardening","Reducing a system's attack surface by removing and securing","D5 Security Operations"
"Attack surface","The total set of points where an attacker could attempt entry","D5 Security Operations"
"The order","Remove → Disable → Change defaults → Patch → Restrict","D5 Security Operations"
"Least functionality","Only the services and features the SYSTEM requires","D5 Security Operations"
"Least privilege","Only the access the PERSON requires","D5 Security Operations"
"The key sentence","A service that is not running cannot be exploited","D5 Security Operations"
"Default credentials","Built-in usernames and passwords. Publicly documented. Change them","D5 Security Operations"
"Baseline","The defined minimum secure configuration for a class of system","D5 Security Operations"
"Baseline's two jobs","New systems are built from it; existing systems are measured against it","D5 Security Operations"
"Golden image","A hardened, approved build template","D5 Security Operations"
"Configuration drift","Systems gradually diverging from the baseline. Invisible — nothing breaks","D5 Security Operations"
"Patch management","Identify → assess → TEST → deploy → verify","D5 Security Operations"
"Testing patches","Test before production. Untested emergency rollouts cause outages","D5 Security Operations"
"Cannot patch","Segment it — a compensating control","D5 Security Operations"
"Vulnerability scanning","Automated, known issues, broad. DETECTIVE","D5 Security Operations"
"Penetration testing","Human, active exploitation attempts, deep on fewer things","D5 Security Operations"
"Configuration management","Establishing and maintaining the known state of systems","D5 Security Operations"
"Asset inventory","What you have. THE FIRST STEP in securing anything","D5 Security Operations"
"Why inventory first","You cannot protect what you do not know you have","D5 Security Operations"
"Shadow IT","Systems and services in use without IT's or security's knowledge","D5 Security Operations"
"Change control","Request → assess → approve → test → implement → verify and document","D5 Security Operations"
"Backout plan","How to reverse a change. Defined BEFORE approval","D5 Security Operations"
"CAB","Change Advisory Board — reviews and approves significant changes","D5 Security Operations"
"Emergency change","Accelerated approval + retrospective documentation. Not an absent process","D5 Security Operations"
"Unauthorised change","No approval at all. Not the same as an emergency change","D5 Security Operations"
"The incident question","""What changed?"" — the first question in every incident","D5 Security Operations"
"Logging","RECORDING events","D5 Security Operations"
"Monitoring","LOOKING at those records and noticing when something is wrong","D5 Security Operations"
"The gap","Logs nobody reviews detect NOTHING. Both are detective controls","D5 Security Operations"
"Every log entry","WHO · WHAT · WHEN · WHERE · OUTCOME","D5 Security Operations"
"Log failures too","Failed logins reveal brute force and spraying. Attacks start as failures","D5 Security Operations"
"Never log","Passwords, card numbers, personal data. Logs are copied and widely read","D5 Security Operations"
"Centralisation, reason 1","Correlation across sources","D5 Security Operations"
"Centralisation, reason 2","Log integrity — an attacker on the host cannot delete shipped evidence","D5 Security Operations"
"Log protection","Protected from modification including by administrators","D5 Security Operations"
"SIEM","Centralises, correlates and ALERTS on log data","D5 Security Operations"
"Time synchronisation","NTP. A prerequisite for sequencing events across systems","D5 Security Operations"
"Ingress monitoring","Traffic entering — attacks","D5 Security Operations"
"Egress monitoring","Traffic LEAVING — data exfiltration, command and control","D5 Security Operations"
"DLP","Data Loss Prevention — detects or blocks sensitive data leaving","D5 Security Operations"
"Alert fatigue","Too many alerts, especially false positives → analysts dismiss them","D5 Security Operations"
"Alert fatigue remedy","Tune and prioritise. Not more rules","D5 Security Operations"
"The order","POLICY → TRAINING → TECHNICAL CONTROL → MONITORING","D5 Security Operations"
"The BEST first step","For an organisation-wide behaviour problem: the policy","D5 Security Operations"
"AUP","Acceptable Use Policy — what you may do with OUR systems","D5 Security Operations"
"AUP's second job","Establishes that monitoring occurs — which matters legally","D5 Security Operations"
"BYOD","Governs YOUR OWN device used for work. A policy problem first","D5 Security Operations"
"BYOD tension","Remote wipe destroys personal data too","D5 Security Operations"
"Containerisation","Separating work data so it can be wiped alone","D5 Security Operations"
"MDM","Mobile Device Management — the technology enforcing device policy","D5 Security Operations"
"Change management policy","Requires changes to follow a controlled process","D5 Security Operations"
"Privacy policy","How personal data is collected, used, shared and protected","D5 Security Operations"
"Password policy","Administrative. The system setting enforcing it is technical","D5 Security Operations"
"Data retention policy","How long each data type is kept","D5 Security Operations"
"Clean desk policy","Sensitive material secured when unattended. The physical session timeout","D5 Security Operations"
"Every policy needs","Management approval · scope · responsibilities · consequences · review · acknowledgement","D5 Security Operations"
"Unread policy","Not a control. Communication and acknowledgement are part of it","D5 Security Operations"
"Awareness","Keeps security in mind. Everyone, continuous, shallow","D5 Security Operations"
"Training","Teaches specific skills for a role","D5 Security Operations"
"Education","Builds understanding of why. For security professionals","D5 Security Operations"
"Awareness training's classification","ADMINISTRATIVE + PREVENTIVE","D5 Security Operations"
"The social engineering answer","Security awareness training. Human vulnerability, human control","D5 Security Operations"
"Most valuable behaviour","REPORTING — promptly, including one's own mistakes","D5 Security Operations"
"Phishing simulations","TEACH, do not punish. Punishment hides mistakes","D5 Security Operations"
"The metric that matters","Reporting rate, not just click rate. Track the trend","D5 Security Operations"
"Security culture","Secure behaviour is normal; concerns are raised without fear","D5 Security Operations"
